division,div.pop,div.pct.pop,div.pct.electors,div.prop.senate,div.pct.gop,div.pct.gop.senate,div.pct.dem.ind,div.pct.women
New England,14810001,4.613134944912553,6.133828996282528,12,6.0606060606060606,8.333333333333332,93.93939393939394,33.33333333333333
Mid-Atlantic,41660580,12.976763298214836,11.71003717472119,6,39.682539682539684,16.666666666666664,55.55555555555556,15.873015873015872
East North Central,46885244,14.604182504589408,13.940520446096654,10,56.00000000000001,30,41.333333333333336,18.666666666666668
West North Central,21294107,6.632854995918436,7.992565055762081,14,72.09302325581395,71.42857142857143,27.906976744186046,25.581395348837212
South Atlantic,64011560,19.93882136229205,18.587360594795538,16,61,50,39,13
East South Central,19029020,5.9273079812378056,6.319702602230483,8,82.35294117647058,87.5,17.647058823529413,14.705882352941178
West South Central,39924072,12.43586220462813,10.966542750929369,8,77.96610169491525,100,20.33898305084746,5.084745762711865
Mountain,24158117,7.524959230994381,8.736059479553903,16,63.829787234042556,68.75,36.17021276595745,21.27659574468085
Pacific,53252505,16.587506761115716,15.055762081784389,10,27.160493827160494,20,72.8395061728395,37.03703703703704
