state,ST,region,division,omb.region,bea.region,pop.2017,pct.pop.2017,electors,pct.electors,total.delegation,total.republican.pct,total.dem.ind.pct,total.women,total.women.pct,census2010pop,estimatesbase2010,pop.2010,pop.2011,pop.2012,pop.2013,pop.2014,pop.2015,pop.2016,house.republicans,house.democrats,house.vacancies,senate.republicans,senate.democrats,senate.independents,house.women,senate.women,total.house
Oregon,OR,West,Pacific,Pacific Northwest,Far West,4142776,0.012904242703660215,7,0.013011152416356878,7,0.14285714285714285,0.8571428571428571,1,0.14285714285714285,3831074,3831072,3837073,3865845,3893920,3919664,3960673,4016537,4085989,1,4,0,0,2,0,1,0,5
Pennsylvania,PA,Northeast,Mid-Atlantic,Mid Atlantic,Mid East,12805537,0.03988768820682096,20,0.03717472118959108,20,0.55,0.35,0,0,12702379,12702857,12711063,12742811,12768034,12778450,12790341,12791124,12787085,10,6,2,1,1,0,0,0,18
Rhode Island,RI,Northeast,New England,New England,New England,1059639,0.0033006464347248815,4,0.007434944237918215,4,0,1,0,0,1052567,1052945,1053169,1052154,1052761,1052784,1054782,1055916,1057566,0,2,0,0,2,0,0,0,2
South Carolina,SC,South,South Atlantic,South East,South East,5024369,0.015650297532076696,9,0.016728624535315983,9,0.8888888888888888,0.1111111111111111,0,0,4625364,4625381,4635834,4672744,4719009,4765862,4824758,4892423,4959822,6,1,0,2,0,0,0,0,7
South Dakota,SD,Midwest,West North Central,Mountain West,Plains,869666,0.0027089036759702584,3,0.0055762081784386614,3,1,0,1,0.3333333333333333,814180,814197,816227,823338,832576,842513,849455,854036,861542,1,0,0,2,0,0,1,0,1
Tennessee,TN,South,East South Central,South East,South East,6715984,0.020919472240328404,11,0.020446096654275093,11,0.8181818181818182,0.18181818181818182,2,0.18181818181818182,6346105,6346295,6355882,6396281,6450632,6490795,6540007,6590726,6649404,7,2,0,2,0,0,2,0,9
Texas,TX,South,West South Central,South Central,South West,28304596,0.08816536940762669,38,0.07063197026022305,38,0.7105263157894737,0.2894736842105263,3,0.07894736842105263,25145561,25146100,25241648,25644424,26078327,26479279,26954436,27454880,27904862,25,11,0,2,0,0,3,0,36
Utah,UT,West,Mountain,Mountain West,Rocky Mtns,3101833,0.009661832032005224,6,0.011152416356877323,6,1,0,1,0.16666666666666666,2763885,2763889,2775260,2815430,2854222,2899961,2938671,2984917,3044321,4,0,0,2,0,0,1,0,4
Vermont,VT,Northeast,New England,New England,New England,623657,0.0019426156016730373,3,0.0055762081784386614,3,0,1,0,0,625741,625741,625842,626210,625606,626044,625665,624455,623354,0,1,0,0,1,1,0,0,1
Virginia,VA,South,South Atlantic,Mid Atlantic,South East,8470020,0.026383080761512592,13,0.024163568773234202,13,0.5384615384615384,0.46153846153846156,1,0.07692307692307693,8001024,8001043,8025206,8107548,8188656,8261689,8316902,8366767,8414380,7,4,0,0,2,0,1,0,11
Washington,WA,West,Pacific,Pacific Northwest,Far West,7405743,0.023067987521635906,12,0.022304832713754646,12,0.3333333333333333,0.6666666666666666,6,0.5,6724540,6724545,6741386,6819155,6890899,6963410,7046931,7152818,7280934,4,6,0,0,2,0,4,2,10
West Virginia,WV,South,South Atlantic,Mid Atlantic,South East,1815857,0.005656173407188882,5,0.00929368029739777,5,0.8,0.2,1,0.2,1852994,1853006,1854315,1854891,1855360,1852333,1847624,1839767,1828637,3,0,0,1,1,0,0,1,3
Wisconsin,WI,Midwest,East North Central,Rust Belt,Great Lakes,5795483,0.01805222373040126,10,0.01858736059479554,10,0.6,0.4,2,0.2,5686986,5687288,5690403,5705812,5721075,5736673,5751272,5759744,5772917,5,3,0,1,1,0,1,1,8
Wyoming,WY,West,Mountain,Mountain West,Rocky Mtns,579315,0.0018044956719530376,3,0.0055762081784386614,3,1,0,1,0.3333333333333333,563626,563767,564376,567602,576608,582341,583334,586102,584910,1,0,0,2,0,0,1,0,1
United States,US,NA,NA,NA,NA,325719178,1.014575571102252,538,1,NA,NA,NA,NA,NA,308745538,308758105,309338421,311644280,313993272,316234505,318622525,321039839,323405935,NA,NA,NA,NA,NA,NA,NA,NA,NA
District of Columbia,DC,South,South Atlantic,Mid Atlantic,Mid East,693972,0.00216163826321879,3,0.0055762081784386614,NA,NA,NA,NA,NA,601723,601766,605040,620336,635630,650114,660797,672736,684336,NA,NA,NA,NA,NA,NA,NA,NA,NA
